Model,Image_ID,Attack,Is_Correct,Is_Success,L2_Distance
MobileNetV2,49,C&W,0,1,51.20280456542969
MobileNetV2,49,T-IFGSM,0,1,8.395934104919434
MobileNetV2,50,Baseline,1,0,0.0
MobileNetV2,50,FGSM,0,1,19.396434783935547
MobileNetV2,50,PGD,0,1,10.848259925842285
MobileNetV2,50,DeepFool,0,1,0.024722455069422722
MobileNetV2,50,C&W,0,1,19.177297592163086
MobileNetV2,50,T-IFGSM,0,1,9.039977073669434
MobileNetV2,51,Baseline,1,0,0.0
MobileNetV2,51,FGSM,0,1,19.392248153686523
MobileNetV2,51,PGD,0,1,10.810669898986816
MobileNetV2,51,DeepFool,0,1,0.04454503208398819
MobileNetV2,51,C&W,0,1,26.394317626953125
MobileNetV2,51,T-IFGSM,0,1,8.59433364868164
MobileNetV2,52,Baseline,1,0,0.0
MobileNetV2,52,FGSM,0,1,18.397890090942383
MobileNetV2,52,PGD,0,1,10.33980941772461
MobileNetV2,52,DeepFool,0,1,0.05753166973590851
MobileNetV2,52,C&W,0,1,51.760047912597656
MobileNetV2,52,T-IFGSM,0,1,8.130107879638672
MobileNetV2,53,Baseline,1,0,0.0
MobileNetV2,53,FGSM,0,1,19.2883243560791
MobileNetV2,53,PGD,0,1,10.704629898071289
MobileNetV2,53,DeepFool,0,1,1.3416104316711426
MobileNetV2,53,C&W,0,1,23.08745574951172
MobileNetV2,53,T-IFGSM,0,1,8.512186050415039
MobileNetV2,54,Baseline,1,0,0.0
MobileNetV2,54,FGSM,0,1,19.274518966674805
MobileNetV2,54,PGD,0,1,10.65007495880127
MobileNetV2,54,DeepFool,0,1,7.426423072814941
MobileNetV2,54,C&W,0,1,26.511615753173828
MobileNetV2,54,T-IFGSM,0,1,8.537737846374512
MobileNetV2,55,Baseline,1,0,0.0
MobileNetV2,55,FGSM,0,1,19.367578506469727
MobileNetV2,55,PGD,0,1,10.701000213623047
MobileNetV2,55,DeepFool,0,1,0.03274712711572647
MobileNetV2,55,C&W,0,1,20.10851287841797
MobileNetV2,55,T-IFGSM,0,1,8.773507118225098
MobileNetV2,56,Baseline,1,0,0.0
MobileNetV2,56,FGSM,0,1,19.3895206451416
MobileNetV2,56,PGD,0,1,10.682221412658691
MobileNetV2,56,DeepFool,0,1,0.0452665351331234
MobileNetV2,56,C&W,0,1,25.390945434570312
MobileNetV2,56,T-IFGSM,0,1,8.542898178100586
MobileNetV2,57,Baseline,1,0,0.0
MobileNetV2,57,FGSM,0,1,19.31235122680664
MobileNetV2,57,PGD,0,1,10.691067695617676
MobileNetV2,57,DeepFool,0,1,0.144131600856781
MobileNetV2,57,C&W,0,1,35.14659118652344
MobileNetV2,57,T-IFGSM,0,1,8.556772232055664
MobileNetV2,58,Baseline,1,0,0.0
MobileNetV2,58,FGSM,0,1,19.288185119628906
MobileNetV2,58,PGD,0,1,10.714642524719238
MobileNetV2,58,DeepFool,0,1,0.014523185789585114
MobileNetV2,58,C&W,0,1,22.83171272277832
MobileNetV2,58,T-IFGSM,0,1,8.705135345458984
MobileNetV2,59,Baseline,1,0,0.0
MobileNetV2,59,FGSM,0,1,18.488588333129883
MobileNetV2,59,PGD,0,1,10.467313766479492
MobileNetV2,59,DeepFool,0,1,0.04842858761548996
MobileNetV2,59,C&W,0,1,39.14774703979492
MobileNetV2,59,T-IFGSM,0,1,8.515778541564941
MobileNetV2,60,Baseline,1,0,0.0
MobileNetV2,60,FGSM,0,1,19.004375457763672
MobileNetV2,60,PGD,0,1,10.680730819702148
MobileNetV2,60,DeepFool,0,1,0.9008884429931641
MobileNetV2,60,C&W,0,1,41.833961486816406
MobileNetV2,60,T-IFGSM,0,1,8.444390296936035
MobileNetV2,61,Baseline,1,0,0.0
MobileNetV2,61,FGSM,0,1,19.229820251464844
MobileNetV2,61,PGD,0,1,10.739167213439941
MobileNetV2,61,DeepFool,0,1,0.09484530240297318
MobileNetV2,61,C&W,0,1,30.15286636352539
MobileNetV2,61,T-IFGSM,0,1,8.582016944885254
MobileNetV2,62,Baseline,1,0,0.0
MobileNetV2,62,FGSM,0,1,19.39745330810547
MobileNetV2,62,PGD,0,1,10.854135513305664
MobileNetV2,62,DeepFool,0,1,0.02433134615421295
MobileNetV2,62,C&W,0,1,10.42994213104248
MobileNetV2,62,T-IFGSM,0,1,8.606097221374512
MobileNetV2,63,Baseline,1,0,0.0
MobileNetV2,63,FGSM,0,1,19.313264846801758
MobileNetV2,63,PGD,0,1,10.672983169555664
MobileNetV2,63,DeepFool,0,1,0.0011178191052749753
MobileNetV2,63,C&W,0,1,24.654312133789062
MobileNetV2,63,T-IFGSM,0,1,8.378451347351074
MobileNetV2,64,Baseline,1,0,0.0
MobileNetV2,64,FGSM,0,1,19.38055992126465
MobileNetV2,64,PGD,0,1,10.793794631958008
MobileNetV2,64,DeepFool,0,1,0.006559031084179878
MobileNetV2,64,C&W,0,1,21.346328735351562
